id,flightNumber,airline,origin,destination,dayOfWeek,scheduledDepartureTime,scheduledArrivalTime,validFrom,validTo
23,952,Goair,GUWAHATI,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:25:00,09:45:00,2018-10-28,2019-03-30
24,373,Goair,GOA,HYDERABAD,Saturday,04:45:00,21:55:00,2018-10-28,2019-03-24
25,662,Goair,GOA,HYDERABAD,Saturday,10:45:00,12:10:00,2018-10-28,2019-03-24
26,370,Goair,GOA,HYDERABAD,Monday,19:45:00,21:55:00,2018-10-30,2019-03-26
27,370,Goair,GOA,HYDERABAD,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:45:00,21:55:00,2018-10-28,2019-03-30
28,572,Goair,GOA,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:55:00,21:55:00,2018-10-28,2019-03-30
29,121,Goair,KOLKATA,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:35:00,21:55:00,2018-10-29,2019-03-30
30,121,Goair,KOLKATA,HYDERABAD,Saturday,06:35:00,21:55:00,2018-10-28,2018-10-28
31,125,Goair,KOLKATA,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:10:00,19:20:00,2018-10-28,2019-03-30
32,421,Goair,HYDERABAD,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",05:35:00,21:55:00,2018-10-28,2019-03-29
33,421,Goair,HYDERABAD,DELHI,Saturday,05:45:00,21:55:00,2018-10-28,2018-10-28
34,424,Goair,HYDERABAD,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:20:00,12:45:00,2018-10-28,2019-03-30
35,996,Goair,HYDERABAD,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:55:00,01:25:00,2018-10-28,2019-03-30
36,616,Goair,NAGPUR,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:25:00,10:05:00,2018-12-01,2019-01-31
37,618,Goair,NAGPUR,DELHI,"Monday,Tuesday,Thursday,Friday,Saturday",20:05:00,21:55:00,2018-12-01,2019-01-31
38,158,Goair,BAGDOGRA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:40:00,16:10:00,2018-10-28,2019-03-30
39,151,Goair,BAGDOGRA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:05:00,19:25:00,2018-10-28,2019-03-30
40,851,Goair,BAGDOGRA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:25:00,17:40:00,2019-03-31,2019-10-26
41,758,Goair,BAGDOGRA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:20:00,18:35:00,2019-03-31,2019-10-26
42,208,Goair,LUCKNOW,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",06:40:00,08:00:00,2018-10-28,2018-11-30
43,208,Goair,LUCKNOW,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",06:40:00,08:00:00,2019-02-01,2019-03-29
44,212,Goair,LUCKNOW,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:45:00,21:55:00,2018-10-28,2019-03-30
45,188,Goair,LUCKNOW,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:30:00,20:00:00,2018-10-28,2019-03-30
46,346,Goair,MUMBAI,DELHI,"Sunday,Tuesday,Friday",01:00:00,21:55:00,2018-10-29,2019-03-30
47,329,Goair,MUMBAI,DELHI,Saturday,06:05:00,21:55:00,2018-10-28,2018-10-28
48,329,Goair,MUMBAI,DELHI,"Sunday,Monday,Thursday,Friday,Saturday",06:05:00,21:55:00,2018-10-28,2019-03-29
49,327,Goair,MUMBAI,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:55:00,10:10:00,2018-10-28,2019-03-30
50,319,Goair,MUMBAI,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:55:00,21:55:00,2018-10-28,2019-03-30
51,465,Goair,MUMBAI,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:10:00,21:55:00,2018-10-28,2019-02-28
52,465,Goair,MUMBAI,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:10:00,21:55:00,2019-03-01,2019-03-30
53,439,Goair,MUMBAI,DELHI,"Monday,Thursday,Saturday",18:30:00,21:55:00,2018-10-28,2019-03-29
54,439,Goair,MUMBAI,DELHI,"Sunday,Tuesday,Wednesday,Friday",18:30:00,21:55:00,2018-10-29,2019-03-30
55,341,Goair,MUMBAI,DELHI,"Sunday,Friday",20:15:00,21:55:00,2018-10-29,2019-03-30
56,643,Goair,MUMBAI,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:15:00,23:30:00,2018-10-28,2019-03-30
57,345,Goair,MUMBAI,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:45:00,21:55:00,2018-10-28,2019-03-30
58,712,Goair,LEH,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:25:00,11:05:00,2018-10-28,2019-01-31
59,205,Goair,LEH,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:25:00,21:55:00,2018-10-28,2019-01-31
60,221,Goair,LEH,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:25:00,12:55:00,2019-02-01,2019-03-30
61,134,Goair,PATNA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:15:00,10:05:00,2018-10-28,2018-11-30
62,134,Goair,PATNA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:15:00,10:05:00,2019-02-01,2019-03-30
63,944,Goair,PATNA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:55:00,14:45:00,2018-10-28,2019-03-30
64,132,Goair,PATNA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:05:00,17:55:00,2018-10-28,2019-03-30
65,150,Goair,PATNA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:10:00,18:55:00,2018-10-28,2019-03-30
66,218,Goair,PATNA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:05:00,21:55:00,2018-10-28,2018-11-30
67,218,Goair,PATNA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:05:00,21:55:00,2019-02-01,2019-03-30
68,144,Goair,PATNA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:25:00,00:20:00,2018-10-28,2018-11-30
69,144,Goair,PATNA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:25:00,00:20:00,2019-02-01,2019-03-30
70,720,Goair,AHMEDABAD,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:10:00,09:50:00,2018-10-28,2019-03-30
71,718,Goair,AHMEDABAD,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:35:00,19:15:00,2018-10-28,2019-03-30
72,714,Goair,AHMEDABAD,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:20:00,00:10:00,2018-10-28,2019-03-30
73,720,Goair,AHMEDABAD,DELHI,"Monday,Wednesday,Thursday,Saturday",09:30:00,11:20:00,2019-03-31,2019-10-25
74,720,Goair,AHMEDABAD,DELHI,"Sunday,Tuesday,Friday",09:30:00,11:20:00,2019-04-01,2019-10-26
75,718,Goair,AHMEDABAD,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:55:00,20:40:00,2019-03-31,2019-10-26
76,714,Goair,AHMEDABAD,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:20:00,21:55:00,2019-03-31,2019-10-26
77,116,Goair,BENGALURU,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:45:00,10:40:00,2018-10-28,2019-03-30
78,124,Goair,BENGALURU,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:40:00,14:35:00,2018-10-29,2019-03-30
79,118,Goair,BENGALURU,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:55:00,23:50:00,2018-10-28,2019-03-30
80,116,Goair,BENGALURU,DELHI,Friday,07:45:00,21:55:00,2019-04-06,2019-10-26
81,116,Goair,BENGALURU,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",07:45:00,21:55:00,2019-04-01,2019-10-25
82,120,Goair,BENGALURU,DELHI,Monday,11:35:00,21:55:00,2019-04-02,2019-10-22
83,120,Goair,BENGALURU,DELHI,"Sunday,Tuesday,Wednesday,Thursday,Friday",11:40:00,21:55:00,2019-04-01,2019-10-26
84,246,Goair,RANCHI,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:10:00,13:10:00,2018-10-28,2019-03-30
85,138,Goair,RANCHI,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:15:00,21:55:00,2018-10-28,2019-03-30
86,148,Goair,RANCHI,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:50:00,21:55:00,2018-10-28,2019-03-30
87,144,Goair,RANCHI,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:15:00,21:55:00,2018-12-01,2019-01-31
88,176,Goair,PUNE,DELHI,Saturday,01:20:00,21:55:00,2018-10-28,2018-10-28
89,176,Goair,PUNE,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",01:20:00,21:55:00,2018-10-29,2019-02-01
90,176,Goair,PUNE,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",01:20:00,21:55:00,2019-02-02,2019-03-30
91,174,Goair,PUNE,DELHI,Friday,10:45:00,13:10:00,2018-11-03,2019-03-30
92,174,Goair,PUNE,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",11:15:00,13:30:00,2018-10-28,2019-03-29
93,278,Goair,PUNE,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:55:00,23:15:00,2018-10-28,2019-03-30
94,155,Goair,GUWAHATI,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:20:00,20:15:00,2018-10-28,2019-03-30
95,205,Goair,JAMMU,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:10:00,12:55:00,2019-02-01,2019-03-30
96,186,Goair,JAMMU,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:00:00,17:25:00,2018-10-28,2019-03-30
97,285,Goair,GOA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:45:00,20:15:00,2018-10-28,2019-03-30
98,128,Goair,KOLKATA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:00:00,21:55:00,2018-10-28,2019-03-30
99,102,Goair,KOLKATA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",14:20:00,16:55:00,2018-10-28,2019-03-30
100,106,Goair,KOLKATA,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",23:45:00,21:55:00,2018-10-28,2019-03-30
101,129,Goair,SRINAGAR,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:25:00,11:10:00,2019-02-01,2019-03-30
102,129,Goair,SRINAGAR,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:15:00,12:50:00,2018-10-28,2019-01-31
103,224,Goair,SRINAGAR,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:40:00,16:45:00,2018-10-28,2019-03-30
104,697,Goair,SRINAGAR,DELHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:15:00,17:45:00,2018-10-28,2019-03-30
105,1315,Goair,AHMEDABAD,VARANASI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",15:20:00,21:55:00,2019-05-01,2019-10-26
106,710,Goair,AHMEDABAD,VARANASI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:30:00,21:55:00,2019-05-01,2019-10-26
107,244,Goair,MUMBAI,BHUBANESWAR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:00:00,21:55:00,2018-10-28,2018-11-30
108,244,Goair,MUMBAI,BHUBANESWAR,"Tuesday,Wednesday",17:00:00,21:55:00,2018-12-05,2019-01-31
109,244,Goair,MUMBAI,BHUBANESWAR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:00:00,21:55:00,2019-02-01,2019-03-30
110,736,Goair,PATNA,BHUBANESWAR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:55:00,20:10:00,2018-10-28,2019-03-30
111,309,Goair,CHENNAI,BHUBANESWAR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",04:50:00,21:55:00,2018-10-29,2019-03-31
112,411,Goair,KOLKATA,BHUBANESWAR,Saturday,04:25:00,21:55:00,2018-10-28,2018-10-28
113,411,Goair,KOLKATA,BHUBANESWAR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",04:25:00,21:55:00,2018-10-29,2018-12-01
114,411,Goair,KOLKATA,BHUBANESWAR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",04:25:00,21:55:00,2019-02-02,2019-03-30
115,760,Goair,KOLKATA,BHUBANESWAR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:40:00,10:55:00,2018-10-28,2019-03-30
116,405,Goair,KOLKATA,BHUBANESWAR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:50:00,23:05:00,2018-10-28,2019-03-30
117,615,Goair,DELHI,NAGPUR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:05:00,07:55:00,2018-12-01,2019-01-31
118,617,Goair,DELHI,NAGPUR,"Monday,Wednesday,Thursday,Saturday",17:55:00,21:55:00,2018-12-02,2019-01-31
119,617,Goair,DELHI,NAGPUR,"Sunday,Tuesday,Friday",17:55:00,21:55:00,2018-12-01,2019-01-30
120,142,Goair,MUMBAI,NAGPUR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:00:00,20:40:00,2018-10-28,2019-03-30
121,516,Goair,PATNA,NAGPUR,Saturday,07:25:00,21:55:00,2018-10-28,2019-03-24
122,473,Goair,PATNA,NAGPUR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:35:00,23:45:00,2018-10-28,2019-03-30
123,809,Goair,BENGALURU,NAGPUR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:10:00,12:45:00,2018-10-28,2019-03-30
124,812,Goair,BENGALURU,NAGPUR,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:10:00,23:55:00,2018-10-28,2019-03-30
125,812,Goair,BENGALURU,NAGPUR,Monday,23:00:00,00:45:00,2018-10-30,2019-03-26
126,283,Goair,PUNE,NAGPUR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:40:00,08:55:00,2018-10-28,2019-03-30
127,831,Goair,GOA,NAGPUR,Friday,04:40:00,21:55:00,2018-11-03,2019-03-30
128,835,Goair,GOA,NAGPUR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",23:20:00,21:55:00,2018-10-28,2019-03-30
129,195,Goair,KOLKATA,NAGPUR,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",23:40:00,21:55:00,2018-10-28,2019-03-30
130,157,Goair,DELHI,BAGDOGRA,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:15:00,13:10:00,2018-10-28,2019-03-30
131,155,Goair,DELHI,BAGDOGRA,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:30:00,15:30:00,2018-10-28,2019-03-30
132,151,Goair,GUWAHATI,BAGDOGRA,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:30:00,16:35:00,2018-10-28,2019-03-30
133,981,Goair,CHENNAI,BAGDOGRA,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:50:00,12:40:00,2018-10-28,2019-03-30
134,541,Goair,KOLKATA,BAGDOGRA,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:55:00,14:10:00,2018-10-28,2019-03-30
135,558,Goair,HYDERABAD,LUCKNOW,"Sunday,Tuesday,Wednesday,Thursday,Friday",13:15:00,21:55:00,2018-10-29,2019-03-30
136,558,Goair,HYDERABAD,LUCKNOW,Saturday,13:15:00,21:55:00,2018-10-28,2019-03-24
137,207,Goair,DELHI,LUCKNOW,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",05:00:00,06:10:00,2018-10-28,2018-11-30
138,207,Goair,DELHI,LUCKNOW,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",05:00:00,06:10:00,2019-02-01,2019-03-29
139,211,Goair,DELHI,LUCKNOW,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:00:00,10:15:00,2018-10-28,2019-03-30
140,214,Goair,DELHI,LUCKNOW,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:50:00,18:00:00,2018-10-28,2019-03-30
141,463,Goair,MUMBAI,LUCKNOW,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",04:55:00,07:20:00,2019-03-01,2019-03-30
142,395,Goair,MUMBAI,LUCKNOW,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:35:00,12:55:00,2018-10-28,2018-11-30
143,395,Goair,MUMBAI,LUCKNOW,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:35:00,12:55:00,2018-12-01,2019-01-31
144,395,Goair,MUMBAI,LUCKNOW,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:35:00,12:55:00,2019-02-01,2019-03-30
145,497,Goair,MUMBAI,LUCKNOW,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:10:00,17:25:00,2018-10-28,2019-03-30
146,731,Goair,AHMEDABAD,LUCKNOW,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",12:50:00,21:55:00,2018-10-29,2019-03-30
147,669,Goair,AHMEDABAD,LUCKNOW,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",12:45:00,21:55:00,2019-04-01,2019-10-26
148,805,Goair,BENGALURU,LUCKNOW,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:20:00,10:45:00,2018-10-28,2019-03-30
149,808,Goair,BENGALURU,LUCKNOW,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:00:00,18:30:00,2018-10-28,2019-03-30
150,808,Goair,BENGALURU,LUCKNOW,Monday,16:40:00,19:05:00,2018-10-30,2019-03-26
151,805,Goair,BENGALURU,LUCKNOW,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:20:00,10:35:00,2019-03-31,2019-10-26
152,581,Goair,HYDERABAD,KOCHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:50:00,08:55:00,2018-10-28,2019-03-30
153,701,Goair,HYDERABAD,KOCHI,Saturday,11:45:00,13:20:00,2018-10-28,2019-03-24
154,591,Goair,HYDERABAD,KOCHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:25:00,21:15:00,2018-10-28,2019-03-30
155,347,Goair,MUMBAI,KOCHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:45:00,12:50:00,2018-10-28,2018-11-30
156,347,Goair,MUMBAI,KOCHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:45:00,21:55:00,2018-12-01,2019-01-31
157,347,Goair,MUMBAI,KOCHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:45:00,21:55:00,2019-02-01,2019-03-30
158,336,Goair,MUMBAI,KOCHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:15:00,19:20:00,2018-10-28,2019-03-30
159,701,Goair,AHMEDABAD,KOCHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",10:50:00,13:20:00,2018-10-29,2019-03-30
160,729,Goair,AHMEDABAD,KOCHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:30:00,20:30:00,2018-10-28,2019-03-30
161,701,Goair,AHMEDABAD,KOCHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",10:50:00,21:55:00,2019-04-01,2019-10-26
162,411,Goair,BENGALURU,KOCHI,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:50:00,13:50:00,2018-10-28,2019-03-30
163,594,Goair,PUNE,KOCHI,Saturday,00:50:00,21:55:00,2018-10-28,2018-10-28
164,594,Goair,PUNE,KOCHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",00:50:00,21:55:00,2018-10-29,2019-03-30
165,592,Goair,GOA,KOCHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:20:00,23:55:00,2018-10-28,2019-03-30
166,943,Goair,KOLKATA,KOCHI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:50:00,13:35:00,2018-10-28,2019-03-30
167,530,Goair,DELHI,MUMBAI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:00:00,09:15:00,2018-10-28,2019-03-30
168,334,Goair,DELHI,MUMBAI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:00:00,21:55:00,2018-10-28,2019-03-30
169,448,Goair,DELHI,MUMBAI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:25:00,21:55:00,2018-10-28,2019-03-30
170,336,Goair,DELHI,MUMBAI,Friday,14:10:00,21:55:00,2018-11-03,2019-03-30
171,336,Goair,DELHI,MUMBAI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",14:10:00,21:55:00,2018-10-28,2019-03-29
172,640,Goair,DELHI,MUMBAI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:05:00,20:25:00,2018-10-28,2019-03-30
173,446,Goair,DELHI,MUMBAI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:40:00,21:55:00,2018-10-28,2019-03-30
174,428,Goair,DELHI,MUMBAI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:35:00,21:55:00,2018-10-28,2019-03-30
175,544,Goair,DELHI,MUMBAI,"Monday,Thursday,Saturday",22:40:00,21:55:00,2018-10-28,2018-11-30
176,544,Goair,DELHI,MUMBAI,"Monday,Thursday,Saturday",22:40:00,21:55:00,2018-12-02,2019-01-29
177,544,Goair,DELHI,MUMBAI,"Monday,Thursday,Saturday",22:40:00,21:55:00,2019-02-01,2019-03-29
178,544,Goair,DELHI,MUMBAI,"Sunday,Friday",22:40:00,01:00:00,2018-10-29,2019-03-30
179,247,Goair,BHUBANESWAR,MUMBAI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:55:00,22:35:00,2018-10-28,2019-03-30
180,141,Goair,NAGPUR,MUMBAI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:25:00,10:50:00,2018-10-28,2019-03-30
181,464,Goair,LUCKNOW,MUMBAI,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:55:00,10:20:00,2019-03-01,2019-03-30
